"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"H1"	"H2"	"H3"	"H4"	"H5"	"H6"	"H7"	"H8"
"SM C26:1"	0.0643540072407366	1.10733742345026	0.134506404838891	0.181573586969644	0.0268754149025594	0.040277168025254	0.13286752812836	0.0903010986228093	0.112915168331148	0.0418029344660313	0.0932610042492384	0.138691671865182	0.147156312814722	0.10626234096653	0.123428210743423	0.108989302191756
"C14:1"	0.0337092418880049	1.66926984729069	0.0162855288369958	0.013885039003561	0.00983246886679002	0.0115077622929297	0.00453693998487083	0.0333326202970102	0.0256096258070646	0.00939391785753513	0.0183333598096793	0.0369844458307152	0.0121708228643755	0.00805780784580318	0.0079120647912451	0.0335351699051558
"C18:2"	0.0720151985789195	1.17344712037266	0.0114601869593674	0.013885039003561	0.00852147301788469	0.0172616434393946	0.0051850742684238	0.0181814292529146	0.0209533302057801	0.0117423973219189	0.0167391546088377	0.0295875566645722	0.0110643844221596	0.00856142083616588	0.00896700676341111	0.0293432736670113
"C2"	2.97407447748261	93.7270228117376	6.45449792906267	8.2573258874254	3.32402997489948	12.5305146667138	4.94591271779275	3.38841236510152	3.30713395081229	3.776824674622	4.83920988715493	3.4229104616327	3.48583431220137	3.04736220468469	3.43436359038646	4.05356366228571
"lysoPC a C16:0"	8.87319180788346	14.8085721106184	100.126447128524	211.480892903391	121.267771521668	7.89864034380963	166.571159007398	6.78833963539656	6.74115195675959	103.333566128779	157.030009385506	4.88379607194595	161.540565782751	103.241166637344	139.780338782983	5.12948369674279
"lysoPC a C16:1"	0.395317473050239	1.61968757459889	5.77291838884766	15.4882269685106	10.947470836284	0.126585385222227	12.1207592367242	0.126663957128639	0.111751094430827	7.75045192835936	7.4696484685437	0.177525339987433	9.18399228961356	6.95036287999561	6.85765029006517	0.107592003445708
"lysoPC a C17:0"	0.257416028962946	0.512350151148627	1.62312437408725	2.60718309289942	1.83604968639192	0.138093147515157	2.10708455583072	0.0587866212510906	0.0512192516141292	1.56455701917248	2.98993185417857	0.046230557288394	2.63940890390617	2.11064204261007	1.97326895893653	0.0293432736670113
"lysoPC a C18:0"	7.5094997496869	9.65201575067091	33.6573627641927	58.852271856555	33.6276990223463	2.67699320339277	50.4903088230603	2.53994566663217	2.52720443759715	32.5034254829644	66.3994437176565	1.72902284258594	79.66412105877	43.2608594851462	74.901407494773	1.77596670622721
"lysoPC a C18:1"	2.36117917042798	7.23901181300318	22.9209770864695	49.6667845157377	26.679421023148	3.43938245529937	35.5832203013419	2.70963900632604	3.21400803878661	24.8004128397856	35.3921525612857	1.86956373674266	32.0872680434839	27.0948824945036	26.6905593667862	2.51653504163273
"lysoPC a C20:4"	0.845795523735395	0.991645453836053	10.7973056189282	17.0903468535369	12.7828650247515	1.29750019852782	18.0835946454116	0.764226076264178	0.690295822890423	10.4277185177569	36.3486756817908	0.656473913495195	39.0025083073336	32.030289800058	37.2399790884463	0.799254882739546
"lysoPC a C24:0"	0.208384404398576	1.25608424152567	0.267203306473672	0.3781002928662	0.192060891864632	0.204262780699502	0.268327593390932	0.152117958082719	0.284034031678353	0.164863258399742	0.31246421936497	0.140540894156718	0.343549136308055	0.238208944441557	0.338108902079207	0.0978109122233711
"lysoPC a C28:1"	0.0888698195229219	0.809843787299443	0.0675547862867974	0.0651528753244016	0.0498178422584028	0.109323741782832	0.0687022340566154	0.0424233349234675	0.0628599906173403	0.0300605371441124	0.0821015678433466	0.118350226658289	0.0597476758796617	0.0584191068820731	0.0622415763577948	0.164881252033683
"PC aa C28:1"	0.185400830384027	0.528877575379228	0.0784118055114612	0.0886506336381203	0.0557173235784768	0.210016661845967	0.0589802198033208	0.104846242025141	0.0651881384179826	0.0568332030380875	0.090072593847555	0.0684212247868232	0.0990262405783282	0.0780600135062184	0.0733184670655379	0.118770393414093
"PC aa C30:0"	2.80552826804259	3.07410090689176	1.59899766469911	1.3254871848784	1.20021669967284	5.62585729095601	1.08951373065255	6.78833963539656	3.57487094788615	0.498347342342239	1.34790049731164	3.95918492617807	1.33934373430242	0.776067618148919	0.839206338858063	4.5146722484816
"PC aa C32:0"	248.224131595394	69.1011607081423	98.3169439244131	81.9227982009333	127.167252841742	315.026431239237	62.3511662120798	372.113858090628	268.902235048078	36.1200838581155	82.8994675463679	323.61575024105	60.8546675410988	51.8726416203484	40.0883224132946	399.628838668519
"PC aa C32:1"	13.4852289934696	4.11532863341962	11.4607901271021	15.2746109838405	31.333456286762	21.146951683545	14.0651620873831	31.5150834193605	17.9279021388455	21.9352678932374	10.6022616881976	21.4528278041064	16.1545544755741	10.6770990086796	8.38731614970589	27.5281825958948
"PC aa C32:2"	3.55632501918451	0.512350151148627	1.39995231224693	1.78476155191927	3.52723433147981	0.188439607546724	2.24319275537685	0.649077024329052	0.0745007296205515	4.51894418536727	2.13703207172827	0.160882339363611	3.46923773556814	2.81570022911785	2.20535619281305	0.783884596533017
"PC aa C32:3"	0.0674184837760097	0.214856514997811	0.0591104380009477	0.0939910332548745	0.165840974886525	0.128023855508843	0.0823130540112279	0.0648470976687288	0.048891103813487	0.212302543580294	0.0725363366382965	0.0425321127053225	0.123921105528187	0.116334600773783	0.0754283510098699	0.0656730410642634
"PC aa C34:1"	357.013048597592	83.149471304153	173.109743027653	204.004333439935	246.467875092127	569.635671970307	145.18272765015	512.11086333807	399.278511884044	128.697144344124	151.45029118256	478.950422730054	140.518235380648	108.780909531333	85.9782982025162	575.688480670587
"PC aa C34:2"	32.9446549924542	4.57809651187644	116.411975965519	221.093612213549	243.190385469864	21.2907987122066	155.552876186998	22.7879973779614	12.2239400272721	291.211923279482	156.232906785085	13.6306175109101	251.715298823352	127.918203165116	168.791243017548	17.467631624348
"PC aa C34:3"	1.03426083065469	0.462767878456824	3.19136048431647	7.47762754337928	12.5206658549704	0.64587315869068	6.1319984566947	0.643016547911414	0.34340180059473	12.9640763392914	4.88703604318018	0.386487458930974	8.18819769161919	7.15180807614069	5.48622572624935	0.497438353593144
"PC aa C34:4"	0.202255451328029	0.314021060381417	0.468058162129953	0.536176121522125	1.28543142985168	0.238786067578291	0.804334645889242	0.256358152466096	0.137360720237892	1.65849619774783	1.06891458716435	0.147937783322861	1.8372410332996	1.7984019885852	1.19788660939451	0.234746189336091
"PC aa C36:0"	1.79425101140244	7.27206666146438	0.694246062643784	0.746587866422242	0.721703214822388	0.632926926111134	0.843222702902421	1.54602753413951	0.835805060430562	0.775467919139525	0.751667752196853	1.12617637554528	0.974219048371151	0.360586901099692	1.01327176426546	0.816022467692124
"PC aa C36:1"	105.572748878428	22.4938243778478	45.1778664970305	47.3170086843659	42.3458214175668	138.66997410009	33.7036308790383	160.603231115054	133.869662610829	15.2186166250998	43.6820196056625	146.830099170231	32.5851653424811	23.4185076648559	19.1477242657992	171.86914306267
"PC aa C36:2"	35.3962362206728	7.4703957522316	59.714208903386	91.7491334957611	79.3159043566973	38.983983237586	69.9991507580049	47.454136397749	32.0131963327311	79.8487714849415	79.7110571446845	35.5069172197782	127.794193295164	55.90154554325	91.2530080633462	45.553336419916
"PC aa C36:3"	9.97640336058181	1.65274242306009	21.1114738823589	42.9378809986274	43.9845662286985	6.74786411451666	31.3703474582475	7.75801586221867	4.8786337162458	55.8942809482269	38.6602732230112	6.08579056144419	49.1817419757204	34.2461869576539	31.7542808331831	7.68654040201092
"PC aa C36:4"	84.8875322653344	12.7095892333321	71.7775635974569	94.2057173194681	156.009161517659	171.179402577616	84.9062392797233	141.209706578612	96.0372608503926	127.757752558371	116.377776764043	115.208397984969	174.817827089342	119.35678232895	120.263912297912	148.115064379851
"PC aa C36:5"	1.12466288844525	0.413185605765022	2.31676726899633	4.4763229587634	8.06327996869227	1.31044643110737	4.3237038055819	1.09755227923428	0.672834714385606	8.03226946408541	2.98196082817437	0.911666589727131	5.36124747175742	4.54309278606191	3.71392321301045	1.20726611658561
"PC aa C36:6"	0.585315018237175	0.413185605765022	0.233425913330273	0.351398294782429	0.542096783522356	0.415717912832086	0.358418258804795	0.37271929968475	0.256096258070646	0.57349868520252	0.30369609076034	0.286629455188043	0.390019550881125	0.372169999878035	0.309097997844642	0.394038246385581
"PC aa C38:0"	0.675717076027734	0.826371211530044	0.377583001924421	0.455002047347461	0.436561617685477	0.72930443531442	0.397954450101527	0.649077024329052	0.600662132565697	0.43305961323237	0.308478706362865	0.613941800789873	0.409935442841012	0.221086102769225	0.314372707705472	0.733581841675283
"PC aa C38:1"	2.94342971212988	1.25608424152567	1.37582560285879	1.3254871848784	0.721703214822388	3.51130596963018	0.836741360066891	5.0186805214462	4.38972267811094	0.272893313761396	1.26021921126535	4.36601383031593	0.559304632540167	0.487497374671093	0.241581711626017	4.64042913562593
"PC aa C38:3"	3.66358169791907	1.76843439267429	6.51481470253302	11.9635632214528	8.1943795535828	2.84960963778672	9.1393415323805	2.62479233647911	2.25946744052329	9.67620508915406	9.48631804760842	2.81266710542589	15.0481160333581	6.69855638481426	8.59830454413909	3.48067117640596
"PC aa C38:4"	62.5168535578403	10.3792224168173	42.3429781439238	47.1033926996957	60.8308628871321	92.926618985694	45.8237419814789	95.1500858045617	71.0096719934885	42.414008822664	82.8994675463679	80.6279411332508	125.581316410732	73.0243872155817	93.8903629937612	97.3931198983027
"PC aa C38:5"	19.1545105837249	3.65256075496279	13.9337778393867	20.2945866235894	28.5803650040608	31.6477847758433	18.6669155006092	33.2120168162992	21.3037164497768	23.9549602326075	30.928377998929	22.932205637335	35.7938368249073	39.1312329641721	26.8488006626111	30.0433203387814
