ID.mirna	logFC
rno-miR-10a-5p	0.108773915736904
rno-miR-3595	0.108729030761435
rno-miR-150-3p	0.107677128100294
rno-miR-323-5p	0.106742648475215
rno-miR-486	0.105658091167324
rno-miR-337-3p	0.10541164025422
rno-miR-203a-3p	0.104750178272848
rno-miR-103-3p	0.104734974054505
rno-miR-381-3p	0.104239923056449
rno-miR-193a-5p	-0.103675941107757
rno-miR-376a-5p	-0.103645136388193
rno-miR-1188-5p	0.102234572959694
rno-miR-107-3p	-0.100920899270413
rno-miR-6319	0.10051548811561
rno-miR-3576	0.0991113277435431
rno-miR-7a-5p	-0.0988512330338374
rno-miR-539-5p	0.0987816689655912
rno-miR-99a-5p	0.0979931522062998
rno-miR-3084a-5p	0.0979875892198097
rno-miR-3084b-5p	0.0979875892198097
rno-miR-9a-3p	-0.0976927247718784
rno-miR-101b-3p	0.0974739992027995
rno-miR-128-1-5p	0.0974722319854546
rno-miR-100-5p	0.0974668469082758
rno-miR-195-3p	0.0971810321702051
rno-miR-146b-3p	0.0968621821587616
rno-miR-136-5p	-0.0952731166863554
rno-miR-421-3p	-0.0941781638640844
rno-miR-664-2-5p	0.0941174297961904
rno-miR-3557-3p	0.0940527438506074
rno-miR-138-1-3p	0.0936075261240319
rno-miR-135a-3p	0.0926912012399583
rno-miR-205	-0.0914547838144388
rno-miR-133c	0.091157850871606
rno-miR-3064-5p	0.0904313522602145
rno-miR-30d-5p	-0.090425949762686
rno-miR-99b-3p	0.090107861395925
rno-miR-378a-5p	0.090001362505248
rno-miR-666-5p	0.0897308166701558
rno-let-7a-1-3p	-0.0896928332044986
rno-miR-484	-0.0893528171124451
rno-miR-455-5p	0.0889372720046975
rno-miR-3588	-0.0879452236536054
rno-miR-22-5p	0.0878855927152156
rno-miR-129-5p	0.0868322006684963
rno-miR-9b-5p	-0.0867868192154351
rno-miR-153-3p	-0.0867554803424468
rno-miR-3072	-0.0863282969978192
rno-miR-149-5p	-0.0860939966169401
rno-miR-133a-3p	0.0860840251041299
rno-miR-384-5p	-0.0856158983114845
rno-miR-125b-5p	-0.0852996284185465
rno-miR-3560	0.0851988831040824
rno-miR-501-3p	0.0851988831040824
rno-miR-203b-5p	0.0827735236771634
rno-miR-377-3p	-0.0825540257583608
rno-let-7f-2-3p	-0.082295498936646
rno-miR-28-5p	0.0820399103725347
rno-miR-341	0.0808039525111006
rno-miR-128-2-5p	-0.0807170844558893
rno-miR-488-3p	0.080651804944333
rno-miR-32-5p	-0.0801857574319325
rno-miR-181b-1-3p	0.080182565868423
rno-miR-30d-3p	-0.0801500852477233
rno-miR-323-3p	0.0801287805929043
rno-miR-3556a	-0.0799063195179102
rno-miR-339-5p	0.0797774246776459
rno-miR-935	0.0787855724594451
rno-miR-134-5p	0.078370137409852
rno-miR-495	-0.0782989152087445
rno-miR-15b-3p	-0.0770254263075394
rno-miR-186-5p	-0.0768655880553357
rno-miR-7b	-0.0768259994392295
rno-miR-126a-3p	0.0757527884447455
rno-miR-125b-2-3p	0.0754118677727398
rno-miR-221-3p	-0.0743380149303956
rno-miR-540-5p	-0.0743305299890631
rno-let-7a-2-3p	0.0738007548838127
rno-miR-758-3p	-0.0737502684655418
rno-miR-300-5p	-0.0735630601378707
rno-miR-154-5p	-0.0728395213859105
novel_186	-0.0719579889063517
rno-miR-490-5p	0.0715258698119428
novel_152	-0.0715066929666808
rno-miR-142-5p	0.0713971563277269
rno-miR-144-3p	0.0708916719464359
rno-miR-322-5p	-0.0707197170932297
rno-let-7g-3p	0.0702798996591643
rno-miR-485-5p	0.0699672220080245
rno-miR-672-3p	0.0699262591376133
rno-let-7b-3p	-0.0698705339352479
rno-miR-708-5p	-0.0692402793454914
rno-miR-181c-5p	-0.0687545978682493
rno-miR-344b-5p	-0.068750498933321
rno-miR-382-5p	0.0685186000401004
rno-miR-340-3p	-0.0676269043025872
rno-miR-1843a-3p	0.0669711865715374
rno-miR-126a-5p	-0.0666547210728012
rno-miR-191b	0.0654492374500597
rno-miR-3586-3p	0.0653950762606996
rno-miR-3596a	0.0653015791891569
rno-let-7a-5p	0.0652996504174972
rno-miR-379-5p	0.0652319499278242
rno-miR-330-3p	-0.0651070119536872
rno-miR-151-5p	0.0650652906130418
rno-miR-210-3p	0.0641869919635001
rno-miR-671	0.0641459486855407
rno-miR-344b-1-3p	-0.0641244936800263
rno-miR-702-3p	-0.0639718662218574
rno-miR-3574	0.0637108584929944
rno-let-7i-5p	0.063661088820858
rno-miR-146a-5p	0.0633666573225096
rno-miR-34a-5p	-0.0626267324600693
rno-miR-124-5p	-0.0606890229764243
rno-miR-490-3p	-0.0598127616508304
rno-miR-450b-5p	0.0596902178900436
rno-miR-411-5p	-0.0591425530347323
rno-miR-374-5p	-0.0589606744808115
rno-miR-1193-3p	-0.0587916399604183
rno-miR-132-3p	0.0581879841470485
rno-let-7e-3p	-0.0576194443023432
rno-miR-3099	-0.0574620351852868
novel_224	-0.0572069230429859
rno-miR-328a-3p	-0.0565205155153876
rno-miR-673-5p	-0.0562284448602099
rno-miR-134-3p	0.0554864740027696
rno-miR-193b-5p	-0.0551968648775869
rno-miR-23b-3p	-0.0547998557968459
rno-miR-3120	-0.0547265251020148
rno-miR-324-3p	-0.0544184330498707
rno-miR-187-3p	0.0539303164290388
rno-miR-770-5p	0.0538312493846895
rno-miR-26b-5p	0.0530364761244737
rno-miR-146b-5p	-0.0530288342529008
rno-miR-329-5p	-0.0530089171386745
rno-miR-148b-3p	0.051999503245499
rno-miR-410-5p	0.0518844307475659
rno-miR-181a-2-3p	-0.0518564018587551
rno-miR-7a-2-3p	-0.0513632138719888
rno-miR-667-3p	-0.0513017327886374
rno-miR-30b-5p	-0.0511474470484075
rno-miR-148b-5p	0.0508886418718149
rno-miR-194-5p	-0.0508500820264661
rno-miR-365-3p	-0.0496832447800681
rno-miR-342-3p	-0.0491524480448629
rno-miR-138-5p	-0.0490948408881877
rno-miR-300-3p	0.0488971154631379
rno-miR-380-3p	-0.0485383955624989
rno-miR-879-5p	0.0484332977546824
rno-miR-3587	-0.0483477787263631
rno-miR-29b-3p	-0.048102655016633
rno-miR-541-5p	-0.0479024901438478
rno-miR-335	0.0473824010088402
rno-miR-98-5p	-0.0470897663510819
rno-miR-503-3p	-0.046969457545786
rno-miR-345-3p	-0.0456546887868097
rno-miR-382-3p	0.0456016562089125
rno-miR-3592	0.0454373910659598
rno-miR-3543	0.0453477848360997
rno-miR-434-3p	0.045344421291297
rno-miR-582-3p	0.0452692721489854
rno-miR-30c-5p	-0.0451889400758247
rno-miR-299b-3p	-0.0446291908069139
rno-miR-25-3p	0.044006228033231
novel_193	0.0435674408343356
rno-miR-3570	-0.043439609924647
rno-miR-181a-1-3p	-0.0434334846757505
rno-miR-874-3p	-0.0433359363693917
rno-miR-652-3p	0.0430963529153807
rno-miR-496-3p	0.0422483893275629
rno-miR-301a-5p	-0.0422315242973621
rno-miR-127-5p	0.0421511299647506
